geoName,glaucoma
Alabama,60
Alaska,0
Arizona,41
Arkansas,45
California,47
Colorado,36
Connecticut,37
Delaware,35
District of Columbia,21
Florida,47
Georgia,28
Hawaii,71
Idaho,0
Illinois,57
Indiana,45
Iowa,83
Kansas,42
Kentucky,35
Louisiana,27
Maine,59
Maryland,47
Massachusetts,40
Michigan,32
Minnesota,26
Mississippi,32
Missouri,47
Montana,0
Nebraska,48
Nevada,33
New Hampshire,100
New Jersey,60
New Mexico,93
New York,44
North Carolina,38
North Dakota,0
Ohio,48
Oklahoma,21
Oregon,48
Pennsylvania,47
Rhode Island,22
South Carolina,16
South Dakota,0
Tennessee,37
Texas,35
Utah,40
Vermont,76
Virginia,40
Washington,31
West Virginia,52
Wisconsin,50
Wyoming,0
