geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,30,51,1,15,3
Alaska,40,40,0,20,0
Arizona,38,40,0,17,5
Arkansas,36,38,4,16,6
California,40,40,2,13,5
Colorado,35,47,0,12,6
Connecticut,43,31,4,19,3
Delaware,20,60,0,10,10
District of Columbia,44,21,0,14,21
Florida,39,43,4,11,3
Georgia,35,41,5,13,6
Hawaii,39,33,0,28,0
Idaho,48,42,0,5,5
Illinois,29,48,4,13,6
Indiana,34,55,1,6,4
Iowa,36,44,0,20,0
Kansas,48,25,2,15,10
Kentucky,30,51,4,13,2
Louisiana,50,31,0,19,0
Maine,33,59,0,0,8
Maryland,33,34,3,21,9
Massachusetts,36,41,1,14,8
Michigan,27,40,6,20,7
Minnesota,30,40,6,16,8
Mississippi,30,42,8,16,4
Missouri,42,38,3,15,2
Montana,27,55,0,18,0
Nebraska,20,68,0,9,3
Nevada,38,38,0,17,7
New Hampshire,25,40,0,25,10
New Jersey,40,35,2,14,9
New Mexico,40,36,9,15,0
New York,39,40,3,14,4
North Carolina,37,45,1,12,5
North Dakota,60,20,0,20,0
Ohio,35,36,5,21,3
Oklahoma,43,39,0,16,2
Oregon,29,38,0,27,6
Pennsylvania,37,38,4,15,6
Rhode Island,34,42,0,16,8
South Carolina,37,46,0,11,6
South Dakota,80,20,0,0,0
Tennessee,31,50,2,14,3
Texas,43,38,2,12,5
Utah,38,40,2,15,5
Vermont,34,11,0,22,33
Virginia,39,35,4,18,4
Washington,23,48,0,18,11
West Virginia,33,42,4,21,0
Wisconsin,39,34,4,17,6
Wyoming,50,50,0,0,0
