Category: All categories

DMA,Diabetic retinopathy: (6/3/17 - 6/3/22),Macular Degeneration: (6/3/17 - 6/3/22),Glaucoma: (6/3/17 - 6/3/22),Cataract: (6/3/17 - 6/3/22),Uveitis: (6/3/17 - 6/3/22)
Terre Haute IN,,,25%,75%,
Indianapolis IN,4%,10%,19%,64%,3%
La Crosse-Eau Claire WI,4%,14%,21%,61%,
Helena MT,,,,100%,
Medford-Klamath Falls OR,,17%,28%,55%,
Ft. Myers-Naples FL,4%,16%,32%,45%,3%
Tampa-St. Petersburg (Sarasota) FL,5%,11%,34%,46%,4%
Knoxville TN,6%,12%,26%,52%,4%
Ft. Wayne IN,6%,13%,28%,53%,
Dothan AL,,,47%,53%,
Wilmington NC,,14%,34%,52%,
Ottumwa IA-Kirksville MO,,,34%,66%,
Evansville IN,6%,11%,30%,49%,4%
Grand Junction-Montrose CO,,,40%,60%,
Buffalo NY,5%,13%,30%,48%,4%
Great Falls MT,,,39%,61%,
Gainesville FL,7%,12%,35%,39%,7%
Rochester MN-Mason City IA-Austin MN,8%,16%,32%,35%,9%
Presque Isle ME,,,100%,,
Monroe LA-El Dorado AR,,,44%,56%,
Jackson TN,,,39%,61%,
Charleston-Huntington WV,7%,13%,34%,41%,5%
San Francisco-Oakland-San Jose CA,6%,9%,37%,44%,4%
Marquette MI,,,38%,62%,
Tri-Cities TN-VA,7%,18%,32%,43%,
West Palm Beach-Ft. Pierce FL,4%,15%,34%,43%,4%
Miami-Ft. Lauderdale FL,6%,9%,47%,33%,5%
Bluefield-Beckley-Oak Hill WV,9%,,42%,49%,
Phoenix AZ,5%,13%,35%,43%,4%
Boise ID,7%,15%,28%,50%,
Lafayette IN,,,41%,59%,
Clarksburg-Weston WV,,,45%,55%,
Missoula MT,,,36%,64%,
New York NY,6%,14%,38%,39%,3%
Butte-Bozeman MT,,,25%,75%,
Traverse City-Cadillac MI,,19%,31%,50%,
Alexandria LA,,,42%,58%,
Utica NY,,,46%,54%,
Erie PA,,18%,35%,47%,
Corpus Christi TX,8%,11%,46%,35%,
Yakima-Pasco-Richland-Kennewick WA,5%,14%,31%,50%,
Orlando-Daytona Beach-Melbourne FL,5%,12%,36%,44%,3%
Anchorage AK,,15%,36%,49%,
Tyler-Longview(Lufkin & Nacogdoches) TX,5%,16%,36%,43%,
Shreveport LA,5%,13%,38%,44%,
Albany-Schenectady-Troy NY,5%,15%,34%,42%,4%
South Bend-Elkhart IN,6%,15%,30%,49%,
Quincy IL-Hannibal MO-Keokuk IA,,,41%,59%,
Sherman TX-Ada OK,,,44%,56%,
Tucson (Sierra Vista) AZ,6%,14%,37%,39%,4%
Bend OR,,,39%,61%,
Seattle-Tacoma WA,5%,12%,35%,44%,4%
"Billings, MT",,,43%,57%,
Wheeling WV-Steubenville OH,,,39%,56%,5%
Charleston SC,6%,13%,31%,45%,5%
Philadelphia PA,5%,11%,39%,40%,5%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,6%,16%,33%,45%,
Duluth MN-Superior WI,,18%,35%,47%,
Parkersburg WV,,,,100%,
Charlottesville VA,12%,,41%,47%,
Lexington KY,7%,14%,31%,42%,6%
Chico-Redding CA,,16%,35%,49%,
Minneapolis-St. Paul MN,8%,14%,34%,40%,4%
Yuma AZ-El Centro CA,,,64%,36%,
Florence-Myrtle Beach SC,7%,13%,34%,46%,
Columbia-Jefferson City MO,8%,12%,37%,43%,
Huntsville-Decatur (Florence) AL,6%,15%,31%,45%,3%
Rockford IL,,15%,38%,47%,
Dallas-Ft. Worth TX,5%,10%,43%,39%,3%
Palm Springs CA,,17%,42%,41%,
Boston MA-Manchester NH,6%,11%,38%,39%,6%
Los Angeles CA,6%,11%,43%,37%,3%
Champaign & Springfield-Decatur IL,6%,15%,33%,42%,4%
Hattiesburg-Laurel MS,,,42%,58%,
Chattanooga TN,6%,12%,33%,44%,5%
Binghamton NY,,,41%,59%,
Tulsa OK,6%,15%,34%,42%,3%
Johnstown-Altoona PA,5%,17%,30%,42%,6%
Salisbury MD,,18%,34%,48%,
Spokane WA,7%,15%,28%,44%,6%
Youngstown OH,7%,18%,31%,44%,
Wausau-Rhinelander WI,,,43%,57%,
Denver CO,5%,14%,27%,49%,5%
Sioux Falls(Mitchell) SD,6%,16%,34%,39%,5%
Chicago IL,6%,11%,39%,40%,4%
Twin Falls ID,,,,100%,
Portland-Auburn ME,6%,15%,33%,39%,7%
Pittsburgh PA,7%,16%,32%,39%,6%
Jonesboro AR,,,47%,53%,
Jacksonville FL,6%,13%,34%,43%,4%
Wichita Falls TX & Lawton OK,,,47%,53%,
Honolulu HI,5%,12%,38%,41%,4%
Elmira NY,,,40%,60%,
Peoria-Bloomington IL,,16%,38%,46%,
Greensboro-High Point-Winston Salem NC,7%,15%,32%,41%,5%
Columbus-Tupelo-West Point MS,8%,12%,33%,44%,3%
Montgomery (Selma) AL,,13%,40%,47%,
Rochester NY,7%,15%,32%,41%,5%
Louisville KY,8%,13%,32%,42%,5%
Watertown NY,,,54%,46%,
Springfield-Holyoke MA,6%,15%,34%,40%,5%
Little Rock-Pine Bluff AR,6%,14%,35%,40%,5%
Sioux City IA,,,46%,54%,
Fargo-Valley City ND,5%,18%,35%,42%,
Mobile AL-Pensacola (Ft. Walton Beach) FL,5%,14%,33%,44%,4%
Washington DC (Hagerstown MD),5%,11%,40%,39%,5%
Green Bay-Appleton WI,6%,15%,31%,43%,5%
Wilkes Barre-Scranton PA,6%,16%,33%,39%,6%
Augusta GA,8%,11%,37%,39%,5%
Albany GA,,,46%,54%,
Albuquerque-Santa Fe NM,7%,17%,31%,41%,4%
Atlanta GA,5%,10%,39%,42%,4%
Beaumont-Port Arthur TX,,,45%,55%,
Cheyenne WY-Scottsbluff NE,,,46%,54%,
Oklahoma City OK,7%,14%,33%,41%,5%
Flint-Saginaw-Bay City MI,6%,14%,35%,40%,5%
Columbus GA,,12%,37%,46%,5%
Detroit MI,6%,12%,38%,39%,5%
Meridian MS,,,,100%,
Springfield MO,6%,15%,34%,41%,4%
El Paso TX,8%,10%,37%,41%,4%
Houston TX,7%,10%,40%,38%,5%
Burlington VT-Plattsburgh NY,6%,16%,32%,39%,7%
Syracuse NY,7%,15%,33%,40%,5%
Toledo OH,6%,17%,32%,41%,4%
Harlingen-Weslaco-Brownsville-McAllen TX,11%,9%,47%,29%,4%
Abilene-Sweetwater TX,,19%,40%,41%,
Davenport IA-Rock Island-Moline IL,6%,18%,34%,42%,
Eugene OR,5%,16%,35%,39%,5%
Rapid City SD,,,43%,57%,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,7%,14%,32%,42%,5%
Roanoke-Lynchburg VA,6%,16%,36%,37%,5%
Memphis TN,7%,11%,37%,40%,5%
Lafayette LA,,,47%,53%,
Tallahassee FL-Thomasville GA,6%,14%,38%,42%,
Harrisburg-Lancaster-Lebanon-York PA,6%,14%,36%,39%,5%
Hartford & New Haven CT,7%,16%,33%,38%,6%
Madison WI,6%,16%,33%,38%,7%
San Angelo TX,,,40%,60%,
Birmingham AL,7%,15%,33%,40%,5%
Ft. Smith-Fayetteville-Springdale-Rogers AR,7%,15%,35%,43%,
Richmond-Petersburg VA,7%,14%,34%,39%,6%
Bangor ME,,,43%,43%,14%
Des Moines-Ames IA,5%,18%,31%,41%,5%
Greenville-New Bern-Washington NC,5%,14%,36%,40%,5%
