Category: All categories

Region,Diabetic retinopathy: (6/3/17 - 6/3/22),Macular Degeneration: (6/3/17 - 6/3/22),Glaucoma: (6/3/17 - 6/3/22),Cataract: (6/3/17 - 6/3/22),Uveitis: (6/3/17 - 6/3/22)
Indiana,4%,10%,25%,58%,3%
Florida,4%,13%,37%,43%,3%
Tennessee,6%,10%,32%,48%,4%
New York,6%,14%,36%,41%,3%
Arizona,5%,12%,36%,43%,4%
Pennsylvania,5%,14%,36%,40%,5%
West Virginia,6%,14%,34%,41%,5%
Washington,5%,11%,35%,45%,4%
Montana,4%,16%,28%,47%,5%
Alaska,,15%,36%,49%,
Maryland,5%,11%,42%,37%,5%
New Jersey,5%,10%,40%,41%,4%
Missouri,6%,11%,35%,43%,5%
Minnesota,8%,13%,35%,40%,4%
Wisconsin,5%,14%,30%,46%,5%
Colorado,4%,13%,30%,48%,5%
North Carolina,6%,11%,37%,42%,4%
South Carolina,6%,13%,30%,47%,4%
Ohio,5%,13%,35%,42%,5%
Illinois,5%,13%,37%,41%,4%
Idaho,7%,16%,27%,45%,5%
Michigan,6%,11%,37%,41%,5%
Alabama,6%,14%,30%,45%,5%
Massachusetts,6%,11%,38%,39%,6%
Texas,7%,12%,40%,38%,3%
Maine,6%,15%,33%,38%,8%
Hawaii,5%,12%,38%,41%,4%
South Dakota,6%,17%,33%,38%,6%
Virginia,6%,11%,39%,39%,5%
New Hampshire,5%,14%,33%,42%,6%
California,7%,13%,39%,37%,4%
Kentucky,7%,15%,31%,42%,5%
Georgia,5%,10%,39%,42%,4%
Connecticut,6%,15%,34%,40%,5%
Vermont,6%,18%,29%,40%,7%
Delaware,4%,14%,36%,41%,5%
Oregon,6%,16%,30%,42%,6%
Wyoming,,20%,34%,46%,
New Mexico,7%,17%,32%,40%,4%
Arkansas,6%,15%,35%,39%,5%
Oklahoma,7%,14%,33%,41%,5%
Mississippi,6%,14%,36%,39%,5%
Kansas,7%,16%,33%,39%,5%
Iowa,6%,16%,32%,41%,5%
North Dakota,6%,20%,35%,39%,
Rhode Island,7%,14%,37%,36%,6%
Louisiana,6%,13%,35%,40%,6%
Nebraska,7%,16%,34%,39%,4%
Utah,6%,16%,32%,41%,5%
District of Columbia,6%,11%,39%,37%,7%
Nevada,7%,14%,36%,38%,5%
