Category: All categories

DMA,Cataract: (6/3/17 - 6/3/22)
Terre Haute IN,100
Indianapolis IN,97
La Crosse-Eau Claire WI,74
Helena MT,66
Medford-Klamath Falls OR,63
Ft. Myers-Naples FL,63
Tampa-St. Petersburg (Sarasota) FL,60
Knoxville TN,60
Ft. Wayne IN,57
Dothan AL,57
Wilmington NC,56
Ottumwa IA-Kirksville MO,56
Evansville IN,55
Grand Junction-Montrose CO,55
Buffalo NY,54
Great Falls MT,53
Gainesville FL,53
Rochester MN-Mason City IA-Austin MN,52
Monroe LA-El Dorado AR,50
Jackson TN,50
Charleston-Huntington WV,49
San Francisco-Oakland-San Jose CA,49
Marquette MI,49
Clarksburg-Weston WV,49
West Palm Beach-Ft. Pierce FL,49
Tri-Cities TN-VA,49
Missoula MT,48
Phoenix AZ,48
Boise ID,48
Bluefield-Beckley-Oak Hill WV,48
Lafayette IN,47
Utica NY,47
New York NY,47
Traverse City-Cadillac MI,47
Butte-Bozeman MT,47
Erie PA,47
Yakima-Pasco-Richland-Kennewick WA,47
Orlando-Daytona Beach-Melbourne FL,47
Tyler-Longview(Lufkin & Nacogdoches) TX,46
Albany-Schenectady-Troy NY,46
Anchorage AK,46
Alexandria LA,46
South Bend-Elkhart IN,46
Bend OR,46
Shreveport LA,46
Tucson (Sierra Vista) AZ,46
Seattle-Tacoma WA,45
Quincy IL-Hannibal MO-Keokuk IA,45
Sherman TX-Ada OK,45
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,45
Charleston SC,45
Philadelphia PA,45
Wheeling WV-Steubenville OH,45
"Billings, MT",45
Columbia-Jefferson City MO,44
Lexington KY,44
Rockford IL,44
Charlottesville VA,44
Florence-Myrtle Beach SC,44
Duluth MN-Superior WI,44
Minneapolis-St. Paul MN,44
Chico-Redding CA,44
Palm Springs CA,44
Parkersburg WV,44
Huntsville-Decatur (Florence) AL,44
Boston MA-Manchester NH,43
Hattiesburg-Laurel MS,43
Champaign & Springfield-Decatur IL,43
Chattanooga TN,43
Tulsa OK,43
Binghamton NY,43
Salisbury MD,43
Twin Falls ID,43
Wausau-Rhinelander WI,43
Youngstown OH,42
Sioux Falls(Mitchell) SD,42
Johnstown-Altoona PA,42
Spokane WA,42
Denver CO,42
Chicago IL,42
Portland-Auburn ME,42
Jacksonville FL,42
Pittsburgh PA,42
Elmira NY,42
Honolulu HI,41
Greensboro-High Point-Winston Salem NC,41
Montgomery (Selma) AL,41
