Category: All categories

Region,Cataract: (6/3/17 - 6/3/22)
Indiana,100
Florida,69
Tennessee,67
New York,63
Arizona,63
Pennsylvania,60
West Virginia,59
Washington,57
Montana,57
Alaska,57
New Jersey,57
Missouri,57
Minnesota,56
Wisconsin,56
Colorado,56
North Carolina,56
South Carolina,55
Ohio,55
Illinois,55
Idaho,55
Michigan,54
Alabama,54
Massachusetts,54
Maine,52
Hawaii,52
South Dakota,52
Virginia,52
New Hampshire,51
Kentucky,51
Georgia,50
Connecticut,50
Vermont,50
Texas,50
Maryland,49
Delaware,49
California,49
Oregon,48
Wyoming,47
New Mexico,47
Arkansas,46
Oklahoma,45
Mississippi,45
Kansas,44
Iowa,44
North Dakota,43
Rhode Island,43
Louisiana,43
Nebraska,42
Utah,41
District of Columbia,37
Nevada,37
