Category: All categories

DMA,Diabetic retinopathy: (6/3/17 - 6/3/22)
Rochester MN-Mason City IA-Austin MN,100
Charlottesville VA,95
Gainesville FL,79
Bluefield-Beckley-Oak Hill WV,75
Harlingen-Weslaco-Brownsville-McAllen TX,73
Minneapolis-St. Paul MN,73
Columbia-Jefferson City MO,73
Augusta GA,70
Charleston-Huntington WV,69
Corpus Christi TX,67
El Paso TX,65
Columbus-Tupelo-West Point MS,63
Greensboro-High Point-Winston Salem NC,63
Lexington KY,62
Louisville KY,62
Spokane WA,62
San Antonio TX,61
Tri-Cities TN-VA,61
Pittsburgh PA,61
Tucson (Sierra Vista) AZ,60
Florence-Myrtle Beach SC,60
New York NY,59
Hartford & New Haven CT,59
Memphis TN,58
Portland-Auburn ME,58
Indianapolis IN,58
Evansville IN,58
Rochester NY,58
Sioux Falls(Mitchell) SD,57
Knoxville TN,57
Roanoke-Lynchburg VA,57
Richmond-Petersburg VA,56
Boise ID,56
Oklahoma City OK,56
Miami-Ft. Lauderdale FL,56
Omaha NE,56
Tampa-St. Petersburg (Sarasota) FL,55
Kansas City MO,55
Ft. Wayne IN,55
Houston TX,55
Dayton OH,55
Baltimore MD,54
San Francisco-Oakland-San Jose CA,54
Nashville TN,54
Harrisburg-Lancaster-Lebanon-York PA,54
Wichita-Hutchinson KS,54
Norfolk-Portsmouth-Newport News VA,54
Tulsa OK,54
Flint-Saginaw-Bay City MI,54
Jacksonville FL,53
Syracuse NY,53
Youngstown OH,53
Albuquerque-Santa Fe NM,53
Little Rock-Pine Bluff AR,53
Tyler-Longview(Lufkin & Nacogdoches) TX,53
Lansing MI,53
St. Louis MO,53
Providence RI-New Bedford MA,52
Birmingham AL,52
Detroit MI,52
Boston MA-Manchester NH,52
Raleigh-Durham (Fayetteville) NC,52
Buffalo NY,52
Albany-Schenectady-Troy NY,52
Philadelphia PA,52
Springfield MO,51
Springfield-Holyoke MA,51
New Orleans LA,51
Burlington VT-Plattsburgh NY,51
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,51
Charleston SC,51
Champaign & Springfield-Decatur IL,50
Waco-Temple-Bryan TX,50
Charlotte NC,49
Chicago IL,49
Sacramento-Stockton-Modesto CA,49
Portland OR,49
Wilkes Barre-Scranton PA,49
Ft. Smith-Fayetteville-Springdale-Rogers AR,49
Tallahassee FL-Thomasville GA,49
Los Angeles CA,49
Columbia SC,49
Madison WI,48
Cleveland-Akron (Canton) OH,48
Cincinnati OH,48
South Bend-Elkhart IN,48
San Diego CA,48
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48
Huntsville-Decatur (Florence) AL,48
Phoenix AZ,48
Fresno-Visalia CA,48
Santa Barbara-Santa Maria-San Luis Obispo CA,48
Toledo OH,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,47
Chattanooga TN,47
Dallas-Ft. Worth TX,47
Washington DC (Hagerstown MD),47
Grand Rapids-Kalamazoo-Battle Creek MI,47
Shreveport LA,46
Davenport IA-Rock Island-Moline IL,46
Milwaukee WI,46
Reno NV,45
Austin TX,45
Ft. Myers-Naples FL,45
Atlanta GA,45
Eugene OR,45
Honolulu HI,44
Seattle-Tacoma WA,44
Columbus OH,44
Orlando-Daytona Beach-Melbourne FL,44
Green Bay-Appleton WI,44
Jackson MS,44
Lubbock TX,44
Macon GA,43
Mobile AL-Pensacola (Ft. Walton Beach) FL,43
West Palm Beach-Ft. Pierce FL,43
Fargo-Valley City ND,42
Las Vegas NV,42
Johnstown-Altoona PA,41
Salt Lake City UT,41
Greenville-New Bern-Washington NC,40
La Crosse-Eau Claire WI,40
Des Moines-Ames IA,40
Yakima-Pasco-Richland-Kennewick WA,40
Lincoln & Hastings-Kearney NE,40
Savannah GA,40
Colorado Springs-Pueblo CO,38
Baton Rouge LA,38
Denver CO,35
Jackson TN,
Glendive MT,
Victoria TX,
Alexandria LA,
Helena MT,
Beaumont-Port Arthur TX,
St. Joseph MO,
Ottumwa IA-Kirksville MO,
Abilene-Sweetwater TX,
Bowling Green KY,
Odessa-Midland TX,
Terre Haute IN,
Chico-Redding CA,
Medford-Klamath Falls OR,
San Angelo TX,
Montgomery (Selma) AL,
Laredo TX,
Great Falls MT,
Traverse City-Cadillac MI,
Cheyenne WY-Scottsbluff NE,
Anchorage AK,
"Billings, MT",
Duluth MN-Superior WI,
Marquette MI,
Rockford IL,
Biloxi-Gulfport MS,
Wheeling WV-Steubenville OH,
Idaho Falls-Pocatello ID,
Zanesville OH,
Juneau AK,
Parkersburg WV,
Utica NY,
Sioux City IA,
Watertown NY,
Hattiesburg-Laurel MS,
Bakersfield CA,
Joplin MO-Pittsburg KS,
Wausau-Rhinelander WI,
Yuma AZ-El Centro CA,
Sherman TX-Ada OK,
Columbus GA,
Binghamton NY,
Rapid City SD,
Mankato MN,
Jonesboro AR,
Lake Charles LA,
Wilmington NC,
Monterey-Salinas CA,
Clarksburg-Weston WV,
Elmira NY,
Dothan AL,
Presque Isle ME,
Grand Junction-Montrose CO,
Harrisonburg VA,
Monroe LA-El Dorado AR,
Amarillo TX,
Wichita Falls TX & Lawton OK,
Lima OH,
Topeka KS,
Minot-Bismarck-Dickinson(Williston) ND,
Lafayette IN,
Bangor ME,
Peoria-Bloomington IL,
Albany GA,
Panama City FL,
Palm Springs CA,
Greenwood-Greenville MS,
Erie PA,
Bend OR,
Alpena MI,
Fairbanks AK,
Lafayette LA,
Twin Falls ID,
Casper-Riverton WY,
Eureka CA,
Quincy IL-Hannibal MO-Keokuk IA,
Salisbury MD,
North Platte NE,
Missoula MT,
Butte-Bozeman MT,
Meridian MS,
