Category: All categories

Region,Diabetic retinopathy: (6/3/17 - 6/3/22)
Minnesota,100
California,86
New York,83
West Virginia,82
Kentucky,82
Texas,81
South Dakota,81
Tennessee,77
Kansas,76
Rhode Island,75
Maine,75
Idaho,74
Missouri,74
Connecticut,73
Massachusetts,72
Vermont,72
Arkansas,71
New Mexico,71
Virginia,70
Oklahoma,70
Indiana,70
Michigan,70
Alabama,69
Pennsylvania,69
North Carolina,68
Oregon,68
Mississippi,68
Nebraska,67
North Dakota,67
Arizona,66
South Carolina,65
Florida,65
Illinois,64
Maryland,64
Louisiana,63
Ohio,63
Iowa,63
New Jersey,62
Washington,62
Wisconsin,61
New Hampshire,61
Hawaii,60
Nevada,60
Georgia,59
District of Columbia,58
Utah,57
Montana,52
Delaware,49
Colorado,47
Alaska,
Wyoming,
