Category: All categories

DMA,glaucoma: (6/3/17 - 6/3/22)
Dothan AL,100
Presque Isle ME,100
Gainesville FL,96
Miami-Ft. Lauderdale FL,96
Rochester MN-Mason City IA-Austin MN,93
Corpus Christi TX,92
Ft. Myers-Naples FL,91
New York NY,90
Tampa-St. Petersburg (Sarasota) FL,89
Philadelphia PA,89
Palm Springs CA,87
Yuma AZ-El Centro CA,87
Dallas-Ft. Worth TX,86
Tucson (Sierra Vista) AZ,86
Los Angeles CA,85
Boston MA-Manchester NH,84
Chicago IL,81
San Francisco-Oakland-San Jose CA,81
Bluefield-Beckley-Oak Hill WV,81
Charleston-Huntington WV,80
Watertown NY,80
Utica NY,80
Washington DC (Hagerstown MD),79
Monroe LA-El Dorado AR,78
Shreveport LA,78
Phoenix AZ,78
Houston TX,77
West Palm Beach-Ft. Pierce FL,77
Charlottesville VA,76
Tyler-Longview(Lufkin & Nacogdoches) TX,76
Harlingen-Weslaco-Brownsville-McAllen TX,76
Columbia-Jefferson City MO,75
Clarksburg-Weston WV,75
Roanoke-Lynchburg VA,75
Detroit MI,75
Orlando-Daytona Beach-Melbourne FL,74
Abilene-Sweetwater TX,74
Honolulu HI,74
Augusta GA,74
Wilmington NC,73
Minneapolis-St. Paul MN,73
Bangor ME,73
Albany-Schenectady-Troy NY,73
Jonesboro AR,73
Sherman TX-Ada OK,72
Wichita Falls TX & Lawton OK,72
Atlanta GA,72
Sioux Falls(Mitchell) SD,72
Tri-Cities TN-VA,71
Grand Junction-Montrose CO,71
Little Rock-Pine Bluff AR,71
Portland-Auburn ME,71
Harrisburg-Lancaster-Lebanon-York PA,71
Montgomery (Selma) AL,70
Seattle-Tacoma WA,70
Alexandria LA,70
Memphis TN,70
Jackson MS,70
Flint-Saginaw-Bay City MI,70
Baltimore MD,69
Rockford IL,69
"Billings, MT",69
Springfield-Holyoke MA,69
Terre Haute IN,69
Albany GA,69
Columbia SC,68
El Paso TX,68
Erie PA,68
Champaign & Springfield-Decatur IL,68
Anchorage AK,68
Eugene OR,68
Tallahassee FL-Thomasville GA,68
Wilkes Barre-Scranton PA,68
Sioux City IA,67
Macon GA,67
Pittsburgh PA,67
Tulsa OK,67
Peoria-Bloomington IL,67
Cheyenne WY-Scottsbluff NE,67
Jacksonville FL,67
Laredo TX,67
Duluth MN-Superior WI,67
Greenwood-Greenville MS,66
Buffalo NY,66
Lafayette IN,66
Lansing MI,66
Great Falls MT,66
Mankato MN,66
Lexington KY,65
Evansville IN,65
Lafayette LA,65
Greenville-New Bern-Washington NC,65
New Orleans LA,65
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,65
Springfield MO,65
Hartford & New Haven CT,65
Greensboro-High Point-Winston Salem NC,64
Fargo-Valley City ND,64
Dayton OH,64
Jackson TN,64
San Antonio TX,64
Madison WI,64
Medford-Klamath Falls OR,64
Columbus GA,64
Beaumont-Port Arthur TX,64
Reno NV,64
Syracuse NY,64
Rochester NY,64
Santa Barbara-Santa Maria-San Luis Obispo CA,63
Providence RI-New Bedford MA,63
Chattanooga TN,63
Baton Rouge LA,63
Florence-Myrtle Beach SC,63
Bowling Green KY,63
Burlington VT-Plattsburgh NY,63
Cincinnati OH,63
Wichita-Hutchinson KS,63
Richmond-Petersburg VA,63
Lubbock TX,62
Salisbury MD,62
Chico-Redding CA,62
Norfolk-Portsmouth-Newport News VA,62
Wheeling WV-Steubenville OH,62
Oklahoma City OK,62
Savannah GA,62
Amarillo TX,62
Quincy IL-Hannibal MO-Keokuk IA,62
Wausau-Rhinelander WI,62
Topeka KS,62
Louisville KY,62
Charleston SC,62
Ft. Wayne IN,61
Biloxi-Gulfport MS,61
Huntsville-Decatur (Florence) AL,61
Johnstown-Altoona PA,61
Birmingham AL,61
Raleigh-Durham (Fayetteville) NC,61
Hattiesburg-Laurel MS,61
Harrisonburg VA,61
Toledo OH,61
Columbus-Tupelo-West Point MS,60
Mobile AL-Pensacola (Ft. Walton Beach) FL,60
Bakersfield CA,60
Davenport IA-Rock Island-Moline IL,60
Idaho Falls-Pocatello ID,60
Fresno-Visalia CA,59
San Diego CA,59
Binghamton NY,59
Albuquerque-Santa Fe NM,59
Marquette MI,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,59
St. Louis MO,59
Colorado Springs-Pueblo CO,59
Greenville-Spartanburg SC-Asheville NC-Anderson SC,59
Omaha NE,58
Monterey-Salinas CA,58
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,58
Youngstown OH,58
Knoxville TN,58
Traverse City-Cadillac MI,58
Ottumwa IA-Kirksville MO,58
Lake Charles LA,58
Odessa-Midland TX,58
Grand Rapids-Kalamazoo-Battle Creek MI,58
Waco-Temple-Bryan TX,58
Kansas City MO,58
Indianapolis IN,57
Rapid City SD,57
Bend OR,57
Green Bay-Appleton WI,57
Nashville TN,57
Las Vegas NV,57
Milwaukee WI,57
Lincoln & Hastings-Kearney NE,57
Minot-Bismarck-Dickinson(Williston) ND,57
Joplin MO-Pittsburg KS,57
Yakima-Pasco-Richland-Kennewick WA,57
Columbus OH,56
Des Moines-Ames IA,55
Panama City FL,55
Spokane WA,55
Cleveland-Akron (Canton) OH,55
Austin TX,54
South Bend-Elkhart IN,54
Missoula MT,54
Portland OR,54
Eureka CA,54
Elmira NY,54
Boise ID,54
Lima OH,52
La Crosse-Eau Claire WI,51
Charlotte NC,51
Sacramento-Stockton-Modesto CA,51
San Angelo TX,49
Salt Lake City UT,49
Denver CO,45
Butte-Bozeman MT,32
Victoria TX,
St. Joseph MO,
Zanesville OH,
Fairbanks AK,
Parkersburg WV,
Helena MT,
Juneau AK,
Casper-Riverton WY,
Alpena MI,
North Platte NE,
Meridian MS,
Twin Falls ID,
Glendive MT,
