Category: All categories

Region,glaucoma: (6/3/17 - 6/3/22)
Florida,100
Maryland,96
New York,96
Pennsylvania,93
New Jersey,92
Arizona,89
Texas,88
Massachusetts,88
California,87
Virginia,85
Illinois,83
Minnesota,83
Michigan,82
North Carolina,82
West Virginia,81
Hawaii,80
Georgia,78
Missouri,78
Maine,78
Ohio,77
Tennessee,76
South Dakota,75
Washington,74
Indiana,73
Delaware,73
Rhode Island,73
Alaska,72
Connecticut,71
Arkansas,69
Mississippi,68
New Hampshire,67
District of Columbia,66
North Dakota,65
New Mexico,64
Louisiana,63
Nebraska,63
Wisconsin,63
Kentucky,63
Alabama,62
Kansas,61
Oklahoma,61
South Carolina,61
Vermont,61
Nevada,60
Colorado,60
Wyoming,59
Montana,58
Oregon,58
Iowa,58
Idaho,55
Utah,53
