Category: All categories

DMA,Macular Degeneration: (6/3/17 - 6/3/22)
Rochester MN-Mason City IA-Austin MN,100
Ft. Myers-Naples FL,97
Tri-Cities TN-VA,91
Medford-Klamath Falls OR,86
Palm Springs CA,81
Sioux Falls(Mitchell) SD,79
Abilene-Sweetwater TX,79
Traverse City-Cadillac MI,79
Erie PA,78
Tyler-Longview(Lufkin & Nacogdoches) TX,78
Johnstown-Altoona PA,77
La Crosse-Eau Claire WI,76
Duluth MN-Superior WI,76
Fargo-Valley City ND,76
West Palm Beach-Ft. Pierce FL,75
Gainesville FL,75
Salisbury MD,74
Tucson (Sierra Vista) AZ,74
Portland-Auburn ME,74
Youngstown OH,74
Pittsburgh PA,74
Roanoke-Lynchburg VA,73
New York NY,73
Burlington VT-Plattsburgh NY,73
Wilkes Barre-Scranton PA,72
Wichita-Hutchinson KS,72
Albany-Schenectady-Troy NY,72
Springfield-Holyoke MA,71
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,71
Albuquerque-Santa Fe NM,71
Davenport IA-Rock Island-Moline IL,71
Charleston-Huntington WV,70
Champaign & Springfield-Decatur IL,70
Toledo OH,69
Hartford & New Haven CT,69
Lexington KY,69
Madison WI,69
Dayton OH,68
Des Moines-Ames IA,68
Wilmington NC,67
Omaha NE,67
Eugene OR,67
Tampa-St. Petersburg (Sarasota) FL,67
Indianapolis IN,67
Tulsa OK,66
Minneapolis-St. Paul MN,66
Rochester NY,66
Biloxi-Gulfport MS,66
Reno NV,65
Amarillo TX,65
Chico-Redding CA,65
Spokane WA,65
Colorado Springs-Pueblo CO,65
Buffalo NY,65
Greensboro-High Point-Winston Salem NC,64
Boise ID,64
Little Rock-Pine Bluff AR,64
Huntsville-Decatur (Florence) AL,64
Knoxville TN,64
Greenville-Spartanburg SC-Asheville NC-Anderson SC,64
Peoria-Bloomington IL,63
Springfield MO,63
Anchorage AK,63
Syracuse NY,63
Rockford IL,63
Santa Barbara-Santa Maria-San Luis Obispo CA,63
Lincoln & Hastings-Kearney NE,63
Phoenix AZ,62
Topeka KS,62
Ft. Wayne IN,62
Lansing MI,62
Shreveport LA,62
Harrisburg-Lancaster-Lebanon-York PA,61
Cleveland-Akron (Canton) OH,61
Birmingham AL,61
Milwaukee WI,61
Flint-Saginaw-Bay City MI,60
South Bend-Elkhart IN,60
Green Bay-Appleton WI,60
Richmond-Petersburg VA,59
Grand Rapids-Kalamazoo-Battle Creek MI,59
Kansas City MO,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,58
Tallahassee FL-Thomasville GA,58
Oklahoma City OK,58
Columbus OH,58
Portland OR,58
Lubbock TX,57
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,57
Cincinnati OH,57
Louisville KY,57
St. Louis MO,57
Jacksonville FL,57
Providence RI-New Bedford MA,56
Evansville IN,56
Baltimore MD,56
Columbia-Jefferson City MO,56
Norfolk-Portsmouth-Newport News VA,55
Greenville-New Bern-Washington NC,55
Charleston SC,55
Yakima-Pasco-Richland-Kennewick WA,55
Denver CO,55
Orlando-Daytona Beach-Melbourne FL,55
Florence-Myrtle Beach SC,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,55
Detroit MI,54
Boston MA-Manchester NH,54
Jackson MS,54
New Orleans LA,54
Macon GA,54
Philadelphia PA,54
Raleigh-Durham (Fayetteville) NC,54
Salt Lake City UT,53
Chattanooga TN,53
Sacramento-Stockton-Modesto CA,53
Seattle-Tacoma WA,53
Nashville TN,53
Chicago IL,52
Honolulu HI,52
San Diego CA,52
Los Angeles CA,52
Columbus-Tupelo-West Point MS,51
Monterey-Salinas CA,50
Montgomery (Selma) AL,50
Austin TX,50
Charlotte NC,50
Corpus Christi TX,50
Augusta GA,49
San Antonio TX,49
Memphis TN,49
Savannah GA,48
Las Vegas NV,48
Washington DC (Hagerstown MD),47
Columbia SC,46
Baton Rouge LA,45
San Francisco-Oakland-San Jose CA,45
Columbus GA,44
Miami-Ft. Lauderdale FL,44
Waco-Temple-Bryan TX,44
El Paso TX,43
Dallas-Ft. Worth TX,43
Atlanta GA,43
Houston TX,43
Fresno-Visalia CA,43
Bakersfield CA,37
Harlingen-Weslaco-Brownsville-McAllen TX,34
Alpena MI,
Presque Isle ME,
Bend OR,
North Platte NE,
Helena MT,
Charlottesville VA,
Bluefield-Beckley-Oak Hill WV,
Cheyenne WY-Scottsbluff NE,
Glendive MT,
Rapid City SD,
Ottumwa IA-Kirksville MO,
Juneau AK,
Idaho Falls-Pocatello ID,
Binghamton NY,
Wausau-Rhinelander WI,
Jonesboro AR,
Sherman TX-Ada OK,
Bangor ME,
Wheeling WV-Steubenville OH,
Elmira NY,
Dothan AL,
"Billings, MT",
Minot-Bismarck-Dickinson(Williston) ND,
Jackson TN,
St. Joseph MO,
Missoula MT,
Quincy IL-Hannibal MO-Keokuk IA,
Marquette MI,
San Angelo TX,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Harrisonburg VA,
Clarksburg-Weston WV,
Lafayette IN,
Terre Haute IN,
Hattiesburg-Laurel MS,
Sioux City IA,
Panama City FL,
Meridian MS,
Great Falls MT,
Butte-Bozeman MT,
Twin Falls ID,
Eureka CA,
Utica NY,
Casper-Riverton WY,
Joplin MO-Pittsburg KS,
Victoria TX,
Wichita Falls TX & Lawton OK,
Monroe LA-El Dorado AR,
Zanesville OH,
Mankato MN,
Beaumont-Port Arthur TX,
Parkersburg WV,
Watertown NY,
Bowling Green KY,
Lake Charles LA,
Albany GA,
Alexandria LA,
Lima OH,
Lafayette LA,
Fairbanks AK,
Odessa-Midland TX,
Laredo TX,
Greenwood-Greenville MS,
