Category: All categories

Region,Macular Degeneration: (6/3/17 - 6/3/22)
South Dakota,100
Vermont,96
North Dakota,94
New York,91
Pennsylvania,90
Wyoming,90
Maine,89
Florida,88
West Virginia,86
New Mexico,84
Montana,84
Idaho,82
Minnesota,79
Kansas,78
Connecticut,78
Oregon,77
Kentucky,76
Iowa,75
Alaska,75
Nebraska,75
Delaware,75
Arkansas,74
Arizona,74
Wisconsin,74
Illinois,73
Ohio,73
New Hampshire,73
Indiana,72
Alabama,72
California,71
Rhode Island,69
Texas,69
Oklahoma,68
South Carolina,67
Massachusetts,66
Colorado,66
Mississippi,66
Utah,64
Michigan,64
Missouri,64
Virginia,64
Maryland,64
North Carolina,64
Tennessee,63
Hawaii,63
Washington,61
New Jersey,60
Nevada,60
Louisiana,59
Georgia,50
District of Columbia,48
