Category: All categories

DMA,Uveitis: (6/3/17 - 6/3/22)
Rochester MN-Mason City IA-Austin MN,100
Bangor ME,80
Gainesville FL,75
Watertown NY,62
Rapid City SD,60
Columbia-Jefferson City MO,58
Charlottesville VA,58
Burlington VT-Plattsburgh NY,57
Marquette MI,56
Portland-Auburn ME,55
Rockford IL,55
Wausau-Rhinelander WI,55
Hattiesburg-Laurel MS,54
Clarksburg-Weston WV,54
Duluth MN-Superior WI,52
Lansing MI,52
Boston MA-Manchester NH,51
Traverse City-Cadillac MI,51
Spokane WA,51
Tri-Cities TN-VA,50
Pittsburgh PA,50
Baltimore MD,50
Sioux Falls(Mitchell) SD,49
Lexington KY,49
Madison WI,49
Charleston-Huntington WV,48
Norfolk-Portsmouth-Newport News VA,48
Topeka KS,48
La Crosse-Eau Claire WI,48
Roanoke-Lynchburg VA,47
Rochester NY,47
Sherman TX-Ada OK,47
Syracuse NY,47
Johnstown-Altoona PA,47
Springfield-Holyoke MA,47
Santa Barbara-Santa Maria-San Luis Obispo CA,47
Hartford & New Haven CT,47
Greensboro-High Point-Winston Salem NC,47
Providence RI-New Bedford MA,46
"Billings, MT",46
Portland OR,46
Erie PA,46
Richmond-Petersburg VA,46
Utica NY,46
Boise ID,46
Columbus OH,46
Terre Haute IN,46
Binghamton NY,46
Augusta GA,46
Evansville IN,45
Charleston SC,45
Idaho Falls-Pocatello ID,45
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Cleveland-Akron (Canton) OH,44
Wilkes Barre-Scranton PA,44
Knoxville TN,44
Wilmington NC,44
Jackson MS,44
Palm Springs CA,44
Mankato MN,44
Raleigh-Durham (Fayetteville) NC,44
Little Rock-Pine Bluff AR,44
Kansas City MO,44
Flint-Saginaw-Bay City MI,44
Philadelphia PA,44
Detroit MI,43
Yakima-Pasco-Richland-Kennewick WA,43
Eugene OR,43
Anchorage AK,43
Albany-Schenectady-Troy NY,43
Lubbock TX,43
Medford-Klamath Falls OR,43
San Antonio TX,43
Louisville KY,43
Indianapolis IN,42
New York NY,42
Memphis TN,42
Fargo-Valley City ND,42
Chico-Redding CA,42
Biloxi-Gulfport MS,42
New Orleans LA,42
Florence-Myrtle Beach SC,42
Oklahoma City OK,42
Wichita Falls TX & Lawton OK,41
Milwaukee WI,41
Youngstown OH,41
St. Louis MO,41
Wichita-Hutchinson KS,41
Missoula MT,41
Greenville-New Bern-Washington NC,41
Minneapolis-St. Paul MN,41
Baton Rouge LA,41
Denver CO,41
Columbus GA,40
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,40
Harrisburg-Lancaster-Lebanon-York PA,40
Birmingham AL,40
Nashville TN,40
Tyler-Longview(Lufkin & Nacogdoches) TX,40
Washington DC (Hagerstown MD),40
Tampa-St. Petersburg (Sarasota) FL,40
Wheeling WV-Steubenville OH,39
Jackson TN,39
Houston TX,39
Montgomery (Selma) AL,39
Miami-Ft. Lauderdale FL,39
Waco-Temple-Bryan TX,39
Tallahassee FL-Thomasville GA,39
Monroe LA-El Dorado AR,38
Honolulu HI,38
Tucson (Sierra Vista) AZ,38
Seattle-Tacoma WA,38
Green Bay-Appleton WI,38
Omaha NE,38
Albuquerque-Santa Fe NM,38
Lincoln & Hastings-Kearney NE,38
Champaign & Springfield-Decatur IL,38
Chicago IL,38
Grand Rapids-Kalamazoo-Battle Creek MI,38
Phoenix AZ,38
Des Moines-Ames IA,38
Ft. Wayne IN,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,37
Shreveport LA,37
Lake Charles LA,37
Springfield MO,37
West Palm Beach-Ft. Pierce FL,37
Buffalo NY,37
Toledo OH,37
Ft. Smith-Fayetteville-Springdale-Rogers AR,37
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
Chattanooga TN,36
Jacksonville FL,36
Ft. Myers-Naples FL,36
Colorado Springs-Pueblo CO,36
Cincinnati OH,36
San Francisco-Oakland-San Jose CA,36
Reno NV,36
San Angelo TX,36
Charlotte NC,35
Atlanta GA,35
Dayton OH,35
Peoria-Bloomington IL,34
South Bend-Elkhart IN,34
Tulsa OK,34
Alexandria LA,34
Davenport IA-Rock Island-Moline IL,34
Sacramento-Stockton-Modesto CA,34
Albany GA,34
Corpus Christi TX,34
San Diego CA,34
Huntsville-Decatur (Florence) AL,33
Austin TX,33
Salt Lake City UT,33
Savannah GA,33
Columbia SC,32
Bluefield-Beckley-Oak Hill WV,32
Minot-Bismarck-Dickinson(Williston) ND,32
Orlando-Daytona Beach-Melbourne FL,32
Abilene-Sweetwater TX,32
Panama City FL,32
Macon GA,32
El Paso TX,31
Dallas-Ft. Worth TX,31
Las Vegas NV,30
Dothan AL,30
Yuma AZ-El Centro CA,30
Harlingen-Weslaco-Brownsville-McAllen TX,29
Los Angeles CA,29
Salisbury MD,28
Bakersfield CA,27
Lafayette LA,26
Harrisonburg VA,26
Columbus-Tupelo-West Point MS,26
Odessa-Midland TX,26
Amarillo TX,25
Monterey-Salinas CA,25
Fresno-Visalia CA,25
Sioux City IA,24
Bowling Green KY,22
Laredo TX,21
Beaumont-Port Arthur TX,18
Presque Isle ME,
Fairbanks AK,
Juneau AK,
Glendive MT,
Lafayette IN,
Alpena MI,
Ottumwa IA-Kirksville MO,
St. Joseph MO,
Parkersburg WV,
Victoria TX,
Elmira NY,
Bend OR,
Jonesboro AR,
Helena MT,
Eureka CA,
Cheyenne WY-Scottsbluff NE,
Butte-Bozeman MT,
Great Falls MT,
Zanesville OH,
Lima OH,
Casper-Riverton WY,
Grand Junction-Montrose CO,
Joplin MO-Pittsburg KS,
Quincy IL-Hannibal MO-Keokuk IA,
Greenwood-Greenville MS,
Meridian MS,
North Platte NE,
Twin Falls ID,
