Category: All categories

Region,Uveitis: (6/3/17 - 6/3/22)
Maine,100
Vermont,91
South Dakota,83
West Virginia,81
Massachusetts,80
Alaska,79
Maryland,74
New Hampshire,74
Rhode Island,74
Oregon,73
Idaho,71
Minnesota,70
Connecticut,69
Virginia,67
Missouri,67
New York,67
Pennsylvania,67
Michigan,66
Wisconsin,66
Kentucky,66
Tennessee,66
Wyoming,65
Montana,65
District of Columbia,64
Arkansas,64
Delaware,64
Kansas,64
Washington,63
New Jersey,63
North Carolina,62
Colorado,62
Arizona,62
Louisiana,62
North Dakota,62
Hawaii,61
Mississippi,61
California,61
Indiana,61
Ohio,61
Nebraska,61
Oklahoma,61
Alabama,60
Iowa,59
Texas,59
South Carolina,59
Illinois,57
Florida,56
New Mexico,55
Utah,54
Georgia,54
Nevada,50
