data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov
"Selected Filters: 2019-2020 / M.D., Ophthalmology (County Level File) / Population, All (County Level File)",,,,
State/Territory,"M.D., Ophthalmology (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
Alabama,227,4903185,4.63,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Alaska,27,731545,3.69,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Arizona,308,7278717,4.23,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Arkansas,118,3017804,3.91,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
California,2423,39512223,6.13,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Colorado,286,5758736,4.97,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Connecticut,283,3565287,7.94,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Delaware,41,973764,4.21,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
District of Columbia,94,705749,13.32,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Florida,1302,21477737,6.06,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Georgia,465,10617423,4.38,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Guam,1,168147,0.59,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Hawaii,108,1415872,7.63,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Idaho,68,1787065,3.81,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Illinois,750,12671821,5.92,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Indiana,261,6732219,3.88,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Iowa,166,3155070,5.26,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Kansas,139,2913314,4.77,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Kentucky,207,4467673,4.63,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Louisiana,340,4648794,7.31,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Maine,68,1344212,5.06,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Maryland,565,6045680,9.35,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Massachusetts,587,6892503,8.52,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Michigan,600,9986857,6.01,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Minnesota,303,5639632,5.37,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Mississippi,129,2976149,4.33,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Missouri,331,6137428,5.39,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Montana,52,1068778,4.87,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Nebraska,97,1934408,5.01,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Nevada,99,3080156,3.21,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
New Hampshire,65,1359711,4.78,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
New Jersey,585,8882190,6.59,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
New Mexico,71,2096829,3.39,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
New York,1686,19453561,8.67,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
North Carolina,547,10488084,5.22,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
North Dakota,30,762062,3.94,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Ohio,638,11689100,5.46,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Oklahoma,155,3956971,3.92,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Oregon,292,4217737,6.92,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Pennsylvania,876,12801989,6.84,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Puerto Rico,172,3193694,5.39,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Rhode Island,68,1059361,6.42,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
South Carolina,255,5148714,4.95,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
South Dakota,37,884659,4.18,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Tennessee,364,6829174,5.33,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Texas,1282,28995881,4.42,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
U.S. Virgin Islands,5,,,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Utah,182,3205958,5.68,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Vermont,39,623989,6.25,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Virginia,467,8535519,5.47,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Washington,371,7614893,4.87,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
West Virginia,104,1792147,5.80,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Wisconsin,319,5822434,5.48,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
Wyoming,8,578759,1.38,AMA Physician Masterfile 2018; Census County Pop. Estimates 2019
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
