New York (72)
California (45)
Texas (43)
Pennsylvania (31)
Michigan (27)
Illinois (23)
Ohio (22)
Florida (20)
Massachusetts (18)
Louisiana (17)
Missouri (17)
Maryland (16)
North Carolina (14)
District of Columbia (13)
Tennessee (10)
Minnesota (9)
Virginia (9)
Georgia (9)
Kentucky (8)
South Carolina (7)
Washington (7)
Indiana (6)
Colorado (6)
Wisconsin (6)
Iowa (5)
New Jersey (5)
Connecticut (5)
Oklahoma (5)
Oregon (5)
Alabama (5)
Utah (4)
Mississippi (4)
Puerto Rico (4)
West Virginia (4)
Rhode Island (3)
Arkansas (3)
Kansas (3)
New Hampshire (2)
Nebraska (2)
Arizona (2)
