geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,33,42,5,15,5
Alaska,35,48,0,17,0
Arizona,38,40,3,14,5
Arkansas,37,37,4,17,5
California,41,41,3,11,4
Colorado,30,46,2,17,5
Connecticut,35,38,4,16,7
Delaware,42,38,0,13,7
District of Columbia,45,38,0,11,6
Florida,38,43,3,12,4
Georgia,36,41,4,13,6
Hawaii,41,40,0,13,6
Idaho,30,49,0,16,5
Illinois,36,39,4,15,6
Indiana,23,60,2,12,3
Iowa,34,40,2,19,5
Kansas,36,39,3,18,4
Kentucky,34,43,3,15,5
Louisiana,38,41,3,13,5
Maine,36,38,0,16,10
Maryland,42,35,3,14,6
Massachusetts,36,36,4,15,9
Michigan,37,37,4,16,6
Minnesota,38,37,5,15,5
Mississippi,39,38,5,14,4
Missouri,36,39,4,15,6
Montana,28,50,0,18,4
Nebraska,37,38,3,17,5
Nevada,40,37,4,14,5
New Hampshire,36,37,3,16,8
New Jersey,38,39,3,15,5
New Mexico,34,42,3,16,5
New York,40,40,3,12,5
North Carolina,36,39,4,15,6
North Dakota,36,39,0,25,0
Ohio,35,39,3,17,6
Oklahoma,36,41,3,16,4
Oregon,32,40,3,19,6
Pennsylvania,36,36,3,18,7
Rhode Island,40,37,3,14,6
South Carolina,35,43,3,13,6
South Dakota,38,36,0,20,6
Tennessee,31,46,4,14,5
Texas,42,38,4,11,5
Utah,31,41,3,18,7
Vermont,29,45,0,19,7
Virginia,37,37,4,15,7
Washington,36,41,3,14,6
West Virginia,37,41,3,14,5
Wisconsin,34,42,3,15,6
Wyoming,35,41,0,24,0
