geoName,cataract
Alabama,45
Alaska,27
Arizona,46
Arkansas,35
California,31
Colorado,49
Connecticut,41
Delaware,46
District of Columbia,39
Florida,44
Georgia,34
Hawaii,32
Idaho,27
Illinois,43
Indiana,43
Iowa,41
Kansas,47
Kentucky,28
Louisiana,37
Maine,42
Maryland,40
Massachusetts,37
Michigan,35
Minnesota,39
Mississippi,30
Missouri,37
Montana,100
Nebraska,50
Nevada,40
New Hampshire,32
New Jersey,36
New Mexico,60
New York,36
North Carolina,35
North Dakota,42
Ohio,40
Oklahoma,46
Oregon,49
Pennsylvania,41
Rhode Island,34
South Carolina,38
South Dakota,12
Tennessee,52
Texas,36
Utah,48
Vermont,29
Virginia,20
Washington,45
West Virginia,33
Wisconsin,42
Wyoming,66
