geoName,diabetic retinopathy
Alabama,68
Alaska,0
Arizona,68
Arkansas,40
California,61
Colorado,45
Connecticut,60
Delaware,0
District of Columbia,0
Florida,52
Georgia,57
Hawaii,0
Idaho,0
Illinois,61
Indiana,53
Iowa,72
Kansas,57
Kentucky,100
Louisiana,42
Maine,0
Maryland,70
Massachusetts,56
Michigan,49
Minnesota,94
Mississippi,63
Missouri,62
Montana,0
Nebraska,63
Nevada,45
New Hampshire,44
New Jersey,56
New Mexico,70
New York,63
North Carolina,60
North Dakota,0
Ohio,63
Oklahoma,62
Oregon,54
Pennsylvania,55
Rhode Island,44
South Carolina,47
South Dakota,0
Tennessee,71
Texas,54
Utah,33
Vermont,0
Virginia,60
Washington,50
West Virginia,58
Wisconsin,42
Wyoming,0
