geoName,glaucoma
Alabama,77
Alaska,91
Arizona,79
Arkansas,88
California,90
Colorado,66
Connecticut,93
Delaware,78
District of Columbia,82
Florida,89
Georgia,73
Hawaii,100
Idaho,72
Illinois,69
Indiana,66
Iowa,70
Kansas,79
Kentucky,85
Louisiana,75
Maine,68
Maryland,84
Massachusetts,82
Michigan,79
Minnesota,83
Mississippi,81
Missouri,72
Montana,54
Nebraska,85
Nevada,70
New Hampshire,76
New Jersey,79
New Mexico,70
New York,86
North Carolina,72
North Dakota,59
Ohio,71
Oklahoma,79
Oregon,70
Pennsylvania,82
Rhode Island,81
South Carolina,68
South Dakota,88
Tennessee,71
Texas,83
Utah,57
Vermont,80
Virginia,74
Washington,65
West Virginia,86
Wisconsin,66
Wyoming,80
