geoName,uveitis
Alabama,48
Alaska,0
Arizona,56
Arkansas,57
California,44
Colorado,50
Connecticut,77
Delaware,44
District of Columbia,74
Florida,56
Georgia,44
Hawaii,53
Idaho,52
Illinois,56
Indiana,54
Iowa,61
Kansas,41
Kentucky,58
Louisiana,56
Maine,100
Maryland,84
Massachusetts,72
Michigan,53
Minnesota,46
Mississippi,57
Missouri,55
Montana,53
Nebraska,43
Nevada,41
New Hampshire,58
New Jersey,62
New Mexico,29
New York,60
North Carolina,53
North Dakota,0
Ohio,64
Oklahoma,47
Oregon,65
Pennsylvania,69
Rhode Island,91
South Carolina,39
South Dakota,41
Tennessee,60
Texas,47
Utah,33
Vermont,59
Virginia,50
Washington,50
West Virginia,59
Wisconsin,46
Wyoming,0
