geoName,macular degeneration
Alabama,49
Alaska,53
Arizona,61
Arkansas,54
California,41
Colorado,55
Connecticut,56
Delaware,60
District of Columbia,29
Florida,54
Georgia,45
Hawaii,44
Idaho,64
Illinois,52
Indiana,62
Iowa,63
Kansas,69
Kentucky,57
Louisiana,52
Maine,67
Maryland,55
Massachusetts,57
Michigan,55
Minnesota,73
Mississippi,58
Missouri,50
Montana,83
Nebraska,58
Nevada,46
New Hampshire,51
New Jersey,52
New Mexico,70
New York,49
North Carolina,49
North Dakota,64
Ohio,54
Oklahoma,53
Oregon,62
Pennsylvania,60
Rhode Island,62
South Carolina,51
South Dakota,72
Tennessee,55
Texas,41
Utah,45
Vermont,100
Virginia,56
Washington,50
West Virginia,61
Wisconsin,60
Wyoming,57
